Paper_ID,DOI,Title,Abstract,Venue,publicationType,publication_type_2,venue_id,journal_name,pages,volume,edition_id,Year,publicationDate,Citations,References,Authors,Author_Ids,URL,s2FieldsOfStudys,Corresponding_Author_ID
00005d68c6c7eb4d3c27da8242a30b9a498f991e,10.1109/ICCNS58795.2023.10193141,Detection of DDoS Attacks on Clouds Computing Environments Using Machine Learning Techniques,,International Conference on Communication and Network Security,conference,['Conference'],3c4447e5-bf74-426d-ac93-650df74ea250,"2023 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)",190-196,Unknown,1,2023.0,2023-06-19,2,53,"Iehab Alrassan, Asma Alqahtani","2085549408, 2165796912",https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e,"Computer Science, Engineering",2085549408
000099f496c1d97729700a77931d98b28a42d5df,10.1109/ICIET57285.2023.10220929,Real-Time Student Emotion and Drowsiness Detection Using YOLOv5 and CNN for Enhanced Learning,,International Conference Innovation Engineering and Technology,conference,['Conference'],d0fd9a2e-7924-417b-8a2f-9f85acf31330,2023 International Conference on Innovations in Engineering and Technology (ICIET),1-8,Unknown,2,2023.0,2023-07-13,1,12,"Afsar P, Shanid Malayil, Aasha Verghese, Aysha Sithara, Amithab Pakarath, Bijoy, Ashmin K T","2233494639, 2075217459, 2233502815, 2233500882, 2233500875, 2170117136, 2233501784",https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df,"Computer Science, Education",2233494639
0000f2eb98405f7d4044761c1707a199ac6189bc,10.48550/arXiv.2308.11721,When Are Two Lists Better than One?: Benefits and Harms in Joint Decision-making,,AAAI Conference on Artificial Intelligence,conference,"['JournalArticle', 'Conference']",bdc2e585-4e48-4e36-8af1-6d859763d405,ArXiv,Unknown,abs/2308.11721,3,2023.0,2023-08-22,3,56,"Kate Donahue, Kostas Kollias, Sreenivas Gollapudi","122495956, 24194181, 144979147",https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc,Computer Science,122495956
0001732a8f4f8443731a16387dda81c61a7bf108,10.1109/BIBM52615.2021.9669784,Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,,IEEE International Conference on Bioinformatics and Biomedicine,conference,"['JournalArticle', 'Conference']",6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),3113-3115,Unknown,4,2021.0,2021-12-09,8,0,"Eugenio Vocaturo, E. Zumpano, Luciano Caroprese","2894523, 1757723, 3013763",https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108,"Computer Science, Medicine",2894523
0002b568154d66ae99ead0427c3f9795a46e9029,10.1109/ICCE53296.2022.9730555,Physical Security Using Machine Learning to Detect Lock Picking at Traffic Cabinets,,IEEE International Conference on Consumer Electronics,conference,"['JournalArticle', 'Conference']",9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics (ICCE),1-6,Unknown,5,2022.0,2022-01-07,0,0,"Hannon Shepard, Michael Young, Billy Kihei","2159008991, 2159011732, 1936237",https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029,"Computer Science, Engineering",2159008991
00035935ebe4b477aa66135beba8da4abe3f591d,10.1109/ISNCC.2019.8909134,An Efficient Way for Satellite Interference Signal Recognition Via Incremental Learning,,"International Symposium on Networks, Computers and Communications",conference,['JournalArticle'],022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications (ISNCC)",1-5,Unknown,6,2019.0,2019-06-01,5,12,"Ying Yang, Lidong Zhu","2146419472, 3127521",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d,"Computer Science, Engineering",2146419472
00040bdd447f041a50ae95fd51926cf435ef1eba,10.3390/s21175948,"Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling","Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",Italian National Conference on Sensors,conference,['JournalArticle'],3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,21,7,2021.0,2021-09-01,31,81,"S. Fuentes, E. Tongson, R. Unnithan, Claudia Gonzalez Viejo","145298798, 30772377, 21058844, 13288046",https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba,"Biology, Computer Science, Engineering, Environmental Science, Medicine",145298798
00044a527a0642b08f385cda845331f0fc8cbbfd,10.3390/s23031639,At the Confluence of Artificial Intelligence and Edge Computing in IoT-Based Applications: A Review and New Perspectives,"Given its advantages in low latency, fast response, context-aware services, mobility, and privacy preservation, edge computing has emerged as the key support for intelligent applications and 5G/6G Internet of things (IoT) networks. This technology extends the cloud by providing intermediate services at the edge of the network and improving the quality of service for latency-sensitive applications. Many AI-based solutions with machine learning, deep learning, and swarm intelligence have exhibited the high potential to perform intelligent cognitive sensing, intelligent network management, big data analytics, and security enhancement for edge-based smart applications. Despite its many benefits, there are still concerns about the required capabilities of intelligent edge computing to deal with the computational complexity of machine learning techniques for big IoT data analytics. Resource constraints of edge computing, distributed computing, efficient orchestration, and synchronization of resources are all factors that require attention for quality of service improvement and cost-effective development of edge-based smart applications. In this context, this paper aims to explore the confluence of AI and edge in many application domains in order to leverage the potential of the existing research around these factors and identify new perspectives. The confluence of edge computing and AI improves the quality of user experience in emergency situations, such as in the Internet of vehicles, where critical inaccuracies or delays can lead to damage and accidents. These are the same factors that most studies have used to evaluate the success of an edge-based application. In this review, we first provide an in-depth analysis of the state of the art of AI in edge-based applications with a focus on eight application areas: smart agriculture, smart environment, smart grid, smart healthcare, smart industry, smart education, smart transportation, and security and privacy. Then, we present a qualitative comparison that emphasizes the main objective of the confluence, the roles and the use of artificial intelligence at the network edge, and the key enabling technologies for edge analytics. Then, open challenges, future research directions, and perspectives are identified and discussed. Finally, some conclusions are drawn.",Italian National Conference on Sensors,conference,"['Review', 'JournalArticle']",3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,23,8,2023.0,2023-02-01,85,154,"Amira Bourechak, Ouarda Zedadra, M. N. Kouahla, Antonio Guerrieri, Hamid Seridi, G. Fortino","2204340369, 1873244, 3401692, 143627888, 1392623159, 1691577",https://www.semanticscholar.org/paper/00044a527a0642b08f385cda845331f0fc8cbbfd,"Computer Science, Engineering, Environmental Science, Medicine",2204340369
000508e61e3f44ed94598bace1aaa96db6008a06,10.1109/CISIS.2011.22,Using Machine Learning Techniques for Modelling and Simulation of Metabolic Networks,,Computational Intelligence in Security for Information Systems,conference,"['JournalArticle', 'Conference']",b7d9506a-45c5-45d0-9588-e7c946acb8c9,"2011 International Conference on Complex, Intelligent, and Software Intensive Systems",85-92,Unknown,9,2011.0,2011-06-30,2,28,"M. Biba, F. Xhafa, F. Esposito, S. Ferilli","1704423, 1679888, 1700821, 1725650",https://www.semanticscholar.org/paper/000508e61e3f44ed94598bace1aaa96db6008a06,"Biology, Computer Science",1704423
000685e039f89a4baf3e0de2502dbc988e663db4,10.1109/SP.2019.00073,F-BLEAU: Fast Black-Box Leakage Estimation,,IEEE Symposium on Security and Privacy,conference,['JournalArticle'],29b9c461-963e-4d11-b2ab-92c182243942,2019 IEEE Symposium on Security and Privacy (SP),835-852,Unknown,10,2019.0,2019-02-04,33,39,"Giovanni Cherubin, K. Chatzikokolakis, C. Palamidessi","2591635, 3472832, 1722055",https://www.semanticscholar.org/paper/000685e039f89a4baf3e0de2502dbc988e663db4,Computer Science,2591635
