ID,Name,url
3c4447e5-bf74-426d-ac93-650df74ea250,International Conference on Communication and Network Security,https://www.semanticscholar.org/paper/00005d68c6c7eb4d3c27da8242a30b9a498f991e
d0fd9a2e-7924-417b-8a2f-9f85acf31330,International Conference Innovation Engineering and Technology,https://www.semanticscholar.org/paper/000099f496c1d97729700a77931d98b28a42d5df
bdc2e585-4e48-4e36-8af1-6d859763d405,AAAI Conference on Artificial Intelligence,https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc
6363ebc9-706a-4203-b804-148cbf8810ce,IEEE International Conference on Bioinformatics and Biomedicine,https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108
9012153e-aed6-447e-bccf-4aaf6f4bf52f,IEEE International Conference on Consumer Electronics,https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029
022430e1-ff7e-4441-8457-affe82b3bd65,"International Symposium on Networks, Computers and Communications",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,https://www.semanticscholar.org/paper/00044a527a0642b08f385cda845331f0fc8cbbfd
b7d9506a-45c5-45d0-9588-e7c946acb8c9,Computational Intelligence in Security for Information Systems,https://www.semanticscholar.org/paper/000508e61e3f44ed94598bace1aaa96db6008a06
29b9c461-963e-4d11-b2ab-92c182243942,IEEE Symposium on Security and Privacy,https://www.semanticscholar.org/paper/000685e039f89a4baf3e0de2502dbc988e663db4
b8e1c2e0-1b74-4058-baa7-54f0bb392eba,Computing and Communication Workshop and Conference,https://www.semanticscholar.org/paper/000734d25e1952d5dd1d5af66a88fd7e565abf33
d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,https://www.semanticscholar.org/paper/00080e5262120b1a8173518a1a5f9ce3da8aeb50
1124d164-490d-4da9-b0c2-ce8a8dc98202,BigData Congress [Services Society],https://www.semanticscholar.org/paper/0009c22526019f1b1a07537244382ed874371079
ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,International Conference Intelligent Data Communication Technologies and Internet Things,https://www.semanticscholar.org/paper/000ac127a9e270e66d99d77dd6dbf4bf5186ce52
cb4cad41-2375-4efe-b205-7ce789c1b8af,International Symposium on Communications and Information Technologies,https://www.semanticscholar.org/paper/000ae7ec0987195782b71db051235dd1e200ab4a
b0f32794-b6c9-414c-b208-f48488188f0f,International Conference on Networking in Education and Research,https://www.semanticscholar.org/paper/000b53134b805be72e269cd79463dff4fd59d9f7
