Paper_DOI,Reviewer_ID
202310.3390/en17040925,143847044.0
202310.3390/en17040925,50428033.0
202310.3390/en17040925,1625285881.0
202210.3390/en17040925,40586945.0
202210.3390/en17040925,2205924025.0
202210.3390/en17040925,2061244539.0
202010.2196/41566,2226104963.0
202010.2196/41566,2996101.0
202010.2196/41566,2202640902.0
201910.2196/41566,1700821.0
201910.2196/41566,2145384963.0
201910.2196/41566,2072089671.0
202210.1109/ICCNS58795.2023.10193141,2295156156.0
202210.1109/ICCNS58795.2023.10193141,144461881.0
202210.1109/ICCNS58795.2023.10193141,16253773.0
202110.1109/ICCNS58795.2023.10193141,2316755864.0
202110.1109/ICCNS58795.2023.10193141,50993009.0
202110.1109/ICCNS58795.2023.10193141,2333429627.0
202010.1109/ICCNS58795.2023.10193141,2174969415.0
202010.1109/ICCNS58795.2023.10193141,1398234295.0
202010.1109/ICCNS58795.2023.10193141,1911979413.0
201910.1109/ICCNS58795.2023.10193141,1709518.0
201910.1109/ICCNS58795.2023.10193141,13411193.0
201910.1109/ICCNS58795.2023.10193141,2076093347.0
202310.1021/acs.jpca.4c08170,2167693417.0
202310.1021/acs.jpca.4c08170,145155297.0
202310.1021/acs.jpca.4c08170,2082057310.0
202210.1021/acs.jpca.4c08170,2203255945.0
202210.1021/acs.jpca.4c08170,1776159.0
202210.1021/acs.jpca.4c08170,46638878.0
202110.1155/2022/9248853,40329126.0
202110.1155/2022/9248853,2064082543.0
202110.1155/2022/9248853,1500524421.0
202010.1155/2022/9248853,40055142.0
202010.1155/2022/9248853,15057497.0
202010.1155/2022/9248853,6622202.0
198510.1109/TSMC.1986.289318,1411257380.0
198510.1109/TSMC.1986.289318,2324061590.0
198510.1109/TSMC.1986.289318,2299989225.0
198410.1109/TSMC.1986.289318,2310050405.0
198410.1109/TSMC.1986.289318,150937537.0
198410.1109/TSMC.1986.289318,143677795.0
202210.1109/ICIET57285.2023.10220929,2109614753.0
202210.1109/ICIET57285.2023.10220929,2146249261.0
202210.1109/ICIET57285.2023.10220929,2284926685.0
202110.1109/ICIET57285.2023.10220929,6073511.0
202110.1109/ICIET57285.2023.10220929,2152338655.0
202110.1109/ICIET57285.2023.10220929,108345623.0
202010.1109/ICIET57285.2023.10220929,2345821727.0
202010.1109/ICIET57285.2023.10220929,145778875.0
202010.1109/ICIET57285.2023.10220929,40381948.0
201910.1109/ICIET57285.2023.10220929,2143549636.0
201910.1109/ICIET57285.2023.10220929,3379298.0
201910.1109/ICIET57285.2023.10220929,35082878.0
202210.48550/arXiv.2308.11721,48037307.0
202210.48550/arXiv.2308.11721,2115409894.0
202210.48550/arXiv.2308.11721,2327455481.0
202110.48550/arXiv.2308.11721,50725030.0
202110.48550/arXiv.2308.11721,13063574.0
202110.48550/arXiv.2308.11721,40457423.0
202010.48550/arXiv.2308.11721,2200547919.0
202010.48550/arXiv.2308.11721,8433807.0
202010.48550/arXiv.2308.11721,2108710355.0
201910.48550/arXiv.2308.11721,40253895.0
201910.48550/arXiv.2308.11721,2103462731.0
201910.48550/arXiv.2308.11721,47449297.0
202010.2139/ssrn.3935555,2110790783.0
202010.2139/ssrn.3935555,2037154938.0
202010.2139/ssrn.3935555,2719667.0
201910.2139/ssrn.3935555,2949264.0
201910.2139/ssrn.3935555,48450227.0
201910.2139/ssrn.3935555,2324365543.0
201410.1007/s10994-015-5496-x,2556569.0
201410.1007/s10994-015-5496-x,2284926685.0
201410.1007/s10994-015-5496-x,2306835593.0
201310.1007/s10994-015-5496-x,2228271705.0
201310.1007/s10994-015-5496-x,2142160578.0
201310.1007/s10994-015-5496-x,2217699710.0
