Paper_DOI,Reviewer_ID
202310.3390/en17040925,145670365.0
202310.3390/en17040925,1712027.0
202310.3390/en17040925,150228456.0
202210.3390/en17040925,3198126.0
202210.3390/en17040925,2064378280.0
202210.3390/en17040925,47204380.0
202010.2196/41566,48514496.0
202010.2196/41566,4040488.0
202010.2196/41566,2047161578.0
201910.2196/41566,2241690733.0
201910.2196/41566,2112979291.0
201910.2196/41566,73062280.0
202210.1109/ICCNS58795.2023.10193141,2169785475.0
202210.1109/ICCNS58795.2023.10193141,2112143936.0
202210.1109/ICCNS58795.2023.10193141,120668213.0
202110.1109/ICCNS58795.2023.10193141,38388465.0
202110.1109/ICCNS58795.2023.10193141,46483012.0
202110.1109/ICCNS58795.2023.10193141,2111163256.0
202010.1109/ICCNS58795.2023.10193141,24001397.0
202010.1109/ICCNS58795.2023.10193141,2151020.0
202010.1109/ICCNS58795.2023.10193141,2928996.0
201910.1109/ICCNS58795.2023.10193141,2110786702.0
201910.1109/ICCNS58795.2023.10193141,144054154.0
201910.1109/ICCNS58795.2023.10193141,2281070963.0
202310.1021/acs.jpca.4c08170,2142541693.0
202310.1021/acs.jpca.4c08170,1947933291.0
202310.1021/acs.jpca.4c08170,2075010.0
202210.1021/acs.jpca.4c08170,9109549.0
202210.1021/acs.jpca.4c08170,81098844.0
202210.1021/acs.jpca.4c08170,104148680.0
202110.1155/2022/9248853,48582327.0
202110.1155/2022/9248853,4481646.0
202110.1155/2022/9248853,2099705027.0
202010.1155/2022/9248853,145614302.0
202010.1155/2022/9248853,3198263.0
202010.1155/2022/9248853,2105770373.0
198510.1109/TSMC.1986.289318,38103875.0
198510.1109/TSMC.1986.289318,2821001.0
198510.1109/TSMC.1986.289318,143855584.0
198410.1109/TSMC.1986.289318,1580143914.0
198410.1109/TSMC.1986.289318,81516172.0
198410.1109/TSMC.1986.289318,2106964166.0
202210.1109/ICIET57285.2023.10220929,145897166.0
202210.1109/ICIET57285.2023.10220929,2200802.0
202210.1109/ICIET57285.2023.10220929,2260446550.0
202110.1109/ICIET57285.2023.10220929,2298874287.0
202110.1109/ICIET57285.2023.10220929,13249240.0
202110.1109/ICIET57285.2023.10220929,2175549323.0
202010.1109/ICIET57285.2023.10220929,35347696.0
202010.1109/ICIET57285.2023.10220929,145134171.0
202010.1109/ICIET57285.2023.10220929,7585460.0
201910.1109/ICIET57285.2023.10220929,145198983.0
201910.1109/ICIET57285.2023.10220929,2158907337.0
201910.1109/ICIET57285.2023.10220929,6771525.0
202210.48550/arXiv.2308.11721,3839221.0
202210.48550/arXiv.2308.11721,70579432.0
202210.48550/arXiv.2308.11721,38140977.0
202110.48550/arXiv.2308.11721,145412420.0
202110.48550/arXiv.2308.11721,2302662773.0
202110.48550/arXiv.2308.11721,1718723.0
202010.48550/arXiv.2308.11721,46243449.0
202010.48550/arXiv.2308.11721,1398190057.0
