Author_ID,Affiliation
66925799.0,MIT
2069468721.0,MIT
31051246.0,NVIDIA Research
2284527869.0,Harvard University
31717083.0,Universitat Politecnica de Catalunya
22471662.0,AWS
118576023.0,IBM Research
6383773.0,Meta AI
2085549408.0,Universitat Politecnica de Catalunya
2165796912.0,Google Research
2284237316.0,Universitat Politecnica de Catalunya
2338003496.0,Microsoft Research
38787372.0,University of Cambridge
2058044165.0,"University of California, Berkeley"
40660777.0,MIT
1519028170.0,Stanford University
2233494639.0,University of Toronto
2075217459.0,Intel Labs
2233502815.0,Stanford University
2233500882.0,Google Research
2233500875.0,NVIDIA Research
2170117136.0,University of Toronto
2233501784.0,AWS
122495956.0,IBM Research
24194181.0,Harvard University
144979147.0,University of Cambridge
143995169.0,Google Research
3433997.0,ETH Zurich
3259574.0,NVIDIA Research
2149023425.0,OpenAI
2894523.0,IBM Research
1757723.0,University of Cambridge
3013763.0,ETH Zurich
2278947667.0,AWS
2225866556.0,"University of California, Berkeley"
2278943393.0,University of Cambridge
2278942280.0,Harvard University
2278953381.0,Adobe Research
2269072872.0,Stanford University
5949283.0,"University of California, Berkeley"
50186106.0,DeepMind
2334988670.0,IBM Research
2335104738.0,Adobe Research
2037169343.0,AWS
2334915568.0,OpenAI
2334994128.0,Microsoft Research
2334995512.0,Meta AI
1829777.0,DeepMind
31782512.0,University of Cambridge
40442909.0,IBM Research
2335088745.0,"University of California, Berkeley"
2348080160.0,MIT
2335146575.0,OpenAI
2349229052.0,ETH Zurich
2348215666.0,Microsoft Research
2348012936.0,Harvard University
15076005.0,Adobe Research
5351447.0,"University of California, Berkeley"
147625398.0,AWS
2342220021.0,Intel Labs
5479315.0,"University of California, Berkeley"
6852018.0,ETH Zurich
46710243.0,Microsoft Research
4319936.0,OpenAI
6355099.0,Adobe Research
146150577.0,NVIDIA Research
4938703.0,Intel Labs
46331271.0,Microsoft Research
34996349.0,University of Cambridge
67021408.0,IBM Research
145838284.0,AWS
40024627.0,"University of California, Berkeley"
2333739705.0,University of Cambridge
2333741325.0,DeepMind
5962535.0,Stanford University
147414513.0,Harvard University
2308773186.0,DeepMind
2290936508.0,ETH Zurich
2290863914.0,Adobe Research
2290849926.0,DeepMind
2291410971.0,AWS
2056721044.0,Stanford University
46380550.0,AWS
2157325472.0,ETH Zurich
8550973.0,University of Toronto
40245505.0,ETH Zurich
2159008991.0,NVIDIA Research
2159011732.0,Google Research
1936237.0,University of Cambridge
2298076784.0,Stanford University
1904651437.0,Meta AI
14261718.0,Intel Labs
2284586591.0,Microsoft Research
2298188269.0,ETH Zurich
2298187711.0,OpenAI
2276418397.0,"University of California, Berkeley"
2152950465.0,AWS
2143164142.0,NVIDIA Research
2162152527.0,Microsoft Research
2151682065.0,NVIDIA Research
2279990447.0,IBM Research
2279991537.0,DeepMind
2279990390.0,"University of California, Berkeley"
32034584.0,IBM Research
48009587.0,Adobe Research
2146419472.0,NVIDIA Research
3127521.0,Universitat Politecnica de Catalunya
2222176832.0,Adobe Research
2240045681.0,University of Cambridge
2240048305.0,IBM Research
2222176836.0,Adobe Research
2318742911.0,NVIDIA Research
2324606564.0,University of Cambridge
2302582592.0,ETH Zurich
2324365543.0,Universitat Politecnica de Catalunya
9970626.0,University of Toronto
2163285251.0,Microsoft Research
2163292705.0,University of Cambridge
2065465713.0,ETH Zurich
2055356924.0,Universitat Politecnica de Catalunya
145298798.0,MIT
30772377.0,ETH Zurich
21058844.0,University of Toronto
13288046.0,MIT
2116047177.0,Harvard University
1970873187.0,"University of California, Berkeley"
107675320.0,University of Toronto
9662996.0,Meta AI
2204340369.0,Stanford University
1873244.0,Harvard University
3401692.0,Microsoft Research
143627888.0,DeepMind
1392623159.0,Harvard University
1691577.0,Meta AI
2334520014.0,Google Research
2335150806.0,Stanford University
2334500925.0,Meta AI
2191158069.0,Google Research
6641675.0,OpenAI
2162331407.0,ETH Zurich
47036346.0,Google Research
104322455.0,Universitat Politecnica de Catalunya
2000725526.0,University of Cambridge
2165605386.0,NVIDIA Research
17207036.0,OpenAI
6622202.0,AWS
2152469879.0,Meta AI
2265207018.0,"University of California, Berkeley"
2208477977.0,NVIDIA Research
1704423.0,OpenAI
1679888.0,MIT
1700821.0,IBM Research
1725650.0,Universitat Politecnica de Catalunya
66163686.0,Universitat Politecnica de Catalunya
2055509.0,Harvard University
113269027.0,NVIDIA Research
